version,title,chart,level,bpm,notes,genre,artist
6th,VJ ARMY,NORMAL,6,135～160,660,ALL MIX,good-cool
6th,VJ ARMY,HYPER,9,135～160,904,ALL MIX,good-cool
6th,VJ ARMY,ANOTHER,10,135～160,1149,ALL MIX,good-cool
6th,こっちを向いてよ,NORMAL,5,128,438,SOUL,vivi
6th,こっちを向いてよ,HYPER,6,128,667,SOUL,vivi
6th,こっちを向いてよ,ANOTHER,7,128,703,SOUL,vivi
6th,電人イェーガーのテーマ(Theme of DENJIN J),NORMAL,5,155,563,NU-NRG,L.E.D.
6th,電人イェーガーのテーマ(Theme of DENJIN J),HYPER,7,155,796,NU-NRG,L.E.D.
7th,A,NORMAL,6,93～191,666,RENAISSANCE,D.J.Amuro
7th,A,HYPER,10,93～191,1111,RENAISSANCE,D.J.Amuro
7th,A,ANOTHER,12,93～191,1260,RENAISSANCE,D.J.Amuro
7th,AVE DE RAPINA,NORMAL,6,125,713,ALTERNATIVE HOUSE,Shawn The Horny Master
7th,AVE DE RAPINA,HYPER,8,125,882,ALTERNATIVE HOUSE,Shawn The Horny Master
7th,AVE DE RAPINA,ANOTHER,9,125,934,ALTERNATIVE HOUSE,Shawn The Horny Master
7th,Bad Routine,NORMAL,5,130,522,FILTER HOUSE,D.J. Spugna
7th,Bad Routine,HYPER,7,130,716,FILTER HOUSE,D.J. Spugna
7th,Bad Routine,ANOTHER,9,130,964,FILTER HOUSE,D.J. Spugna
7th,Burning Heat!(Full Option Mix),NORMAL,4,166,361,12 BEAT,Mr.T with Motoaki.F
7th,Burning Heat!(Full Option Mix),HYPER,5,166,494,12 BEAT,Mr.T with Motoaki.F
7th,Burning Heat!(Full Option Mix),ANOTHER,7,166,755,13 BEAT,Mr.T with Motoaki.F
7th,Cheer Train,NORMAL,5,120,470,BIG BEAT,Fuzita Blender
7th,Cheer Train,HYPER,6,120,623,BIG BEAT,Fuzita Blender
7th,Cheer Train,ANOTHER,9,120,880,BIG BEAT,Fuzita Blender
7th,D2R,NORMAL,5,160,494,HYPER ROCK BEAT,NAOKI
7th,D2R,HYPER,6,160,671,HYPER ROCK BEAT,NAOKI
7th,D2R,ANOTHER,8,160,823,HYPER ROCK BEAT,NAOKI
7th,DESTINY,NORMAL,5,155,546,HYPER EUROBEAT,NAOKI feat.Paula Terry
7th,DESTINY,HYPER,6,155,700,HYPER EUROBEAT,NAOKI feat.Paula Terry
7th,DESTINY,ANOTHER,8,155,925,HYPER EUROBEAT,NAOKI feat.Paula Terry
7th,foreplay,NORMAL,4,140,357,PROGRESSIVE JAZZ,Osamu Kubota
7th,foreplay,HYPER,8,140,631,PROGRESSIVE JAZZ,Osamu Kubota
7th,foreplay,ANOTHER,8,140,684,PROGRESSIVE JAZZ,Osamu Kubota
7th,Glorious Days,NORMAL,3,40～83,262,HIP HOP&SOUL,Noria
7th,Glorious Days,HYPER,5,40～83,411,HIP HOP&SOUL,Noria
7th,Glorious Days,ANOTHER,6,40～83,463,HIP HOP&SOUL,Noria
7th,Happy Wedding,NORMAL,6,126,620,HOUSE,ASKA
7th,Happy Wedding,HYPER,7,126,872,HOUSE,ASKA
7th,Happy Wedding,ANOTHER,8,126,940,HOUSE,ASKA
7th,Last Message,NORMAL,5,155,513,EUROBEAT,good-cool feat. Meg
7th,Last Message,HYPER,8,155,682,EUROBEAT,good-cool feat. Meg
7th,Last Message,ANOTHER,9,155,819,EUROBEAT,good-cool feat. Meg
7th,Let the Snow Paint Me,NORMAL,4,130,431,AMBIENT POP,Sana
7th,Let the Snow Paint Me,HYPER,6,130,537,AMBIENT POP,Sana
7th,Let the Snow Paint Me,ANOTHER,7,130,624,AMBIENT POP,Sana
7th,Love Me Do,NORMAL,5,167,571,NEW WAVE,AKIRA YAMAOKA
7th,Love Me Do,HYPER,7,167,857,NEW WAVE,AKIRA YAMAOKA
7th,Love Me Do,ANOTHER,9,167,1058,NEW WAVE,AKIRA YAMAOKA
7th,Spica,NORMAL,4,128,328,HOUSE,D.JW
7th,Spica,HYPER,9,128,772,HOUSE,D.JW
7th,Spica,ANOTHER,11,128,1167,HOUSE,D.JW
7th,stoic,NORMAL,8,155,874,TECHNO,TaQ
7th,stoic,HYPER,10,155,1250,TECHNO,TaQ
7th,stoic,ANOTHER,11,155,1302,TECHNO,TaQ
7th,Tomorrow Perfume,NORMAL,6,144,685,TRANCE,dj TAKA
7th,Tomorrow Perfume,HYPER,9,144,1000,TRANCE,dj TAKA
7th,Tomorrow Perfume,ANOTHER,9,144,1085,TRANCE,dj TAKA
7th,traces,NORMAL,6,152,778,TRANCE,TaQ
7th,traces,HYPER,9,152,982,TRANCE,TaQ
7th,traces,ANOTHER,10,152,1083,TRANCE,TaQ
7th,ZERO-ONE,NORMAL,5,160,556,ELECTROSHOCK,Mr.T
7th,ZERO-ONE,HYPER,9,160,874,ELECTROSHOCK,Mr.T
7th,ZERO-ONE,ANOTHER,10,160,1132,ELECTROSHOCK,Mr.T
7th,革命,NORMAL,6,83～148,392,ORCHESTRAL,dj TAKA with NAOKI
7th,革命,HYPER,10,83～148,1004,ORCHESTRAL,dj TAKA with NAOKI
7th,革命,ANOTHER,10,83～148,1183,ORCHESTRAL,dj TAKA with NAOKI
8th,abstract,NORMAL,6,125,659,BIG BEAT,TaQ
8th,abstract,HYPER,9,125,831,BIG BEAT,TaQ
8th,abstract,ANOTHER,9,125,960,BIG BEAT,TaQ
8th,airflow,NORMAL,3,40～148,295,INSTRUMENTAL,Mr.T
8th,airflow,HYPER,5,40～148,402,INSTRUMENTAL,Mr.T
8th,airflow,ANOTHER,7,40～148,721,INSTRUMENTAL,Mr.T
8th,ALL RIGHT,NORMAL,4,180,446,DRUM'N'BASS,RAM
8th,ALL RIGHT,HYPER,8,180,658,DRUM'N'BASS,RAM
